actividad,t,pitch,roll,yaw,x_accel,y_accel,z_accel
tenis,0.14211606979370117,346.3021478270932,289.5383546729903,164.47715702567342,0.22305025160312653,-0.7096865773200989,0.47593992948532104
tenis,0.16930842399597168,344.83710981616593,291.3420027271155,163.3253275844208,0.23226319253444672,-0.7661334872245789,0.5183432102203369
tenis,0.20357942581176758,344.7069076275653,291.96076322440535,162.47166322119594,0.22644448280334473,-0.7511774301528931,0.5193179845809937
tenis,0.23802852630615234,344.59144327964617,292.5057098673348,161.61276693306684,0.23444519937038422,-0.7523835897445679,0.5083516240119934
tenis,0.27242088317871094,344.4702791388648,293.0124825829931,160.7800439298372,0.246567502617836,-0.7403222918510437,0.5066457390785217
tenis,0.306793212890625,344.3594115082571,293.4587261622267,159.9458182849902,0.2482646256685257,-0.7535896897315979,0.5032340288162231
tenis,0.3411242961883545,344.2686690300389,293.8331161513918,159.08998192160925,0.2531135380268097,-0.7656509876251221,0.5003096461296082
tenis,0.3754143714904785,344.194892741719,294.29498720344634,158.22603129349434,0.2613566815853119,-0.749730110168457,0.4927550256252289
tenis,0.40974974632263184,344.09452994205486,294.79236157880666,157.31425568081102,0.27347898483276367,-0.749247670173645,0.4871499836444855
tenis,0.44407010078430176,343.9708318010913,295.1679468510765,156.34685500752707,0.28366172313690186,-0.7627562880516052,0.48593151569366455
tenis,0.4784102439880371,343.82347900748476,295.62615692173597,155.27361372286464,0.28026747703552246,-0.7521423101425171,0.48885586857795715
tenis,0.5127532482147217,343.66722818493696,296.03471834731863,154.1199674512928,0.29554158449172974,-0.7617913484573364,0.4678979516029358
tenis,0.540020227432251,343.51835567424007,296.42064452599186,153.02799778792618,0.30596673488616943,-0.764203667640686,0.4761836528778076
tenis,0.5673079490661621,343.3130401877895,296.7539577574885,151.66478765224002,0.29384446144104004,-0.7941156625747681,0.48154497146606445
tenis,0.5981132984161377,343.1644835733417,297.10168268813385,150.3135030268447,0.29141998291015625,-0.793633222579956,0.47399038076400757
tenis,0.6254150867462158,342.9626327003476,297.50014909412323,149.0176931978882,0.313240110874176,-0.7803657650947571,0.42378881573677063
tenis,0.6526758670806885,342.6176586283905,297.81897549439026,147.37760085362808,0.30596673488616943,-0.7523835897445679,0.3889401853084564
tenis,0.6870098114013672,342.2856380101943,297.8509612702734,145.77801153114612,0.29214733839035034,-0.7806069850921631,0.3745620548725128
tenis,0.721355676651001,342.0007935085954,297.48153682863494,143.52622110519798,0.276145875453949,-0.7991814017295837,0.35555368661880493
tenis,0.7556922435760498,341.9078602472009,297.5107700382826,140.9406393345113,0.26887252926826477,-0.7490063905715942,0.33898231387138367
tenis,0.7900094985961914,341.8625863382875,297.57149725019315,137.8511262068611,0.2652358412742615,-0.7651685476303101,0.3694444000720978
tenis,0.824338436126709,341.9407441929599,297.1382037096259,134.3599159937441,0.2472948431968689,-0.8836104869842529,0.3672511577606201
tenis,0.8586599826812744,342.13637788626204,296.9910199632013,130.6714362570188,0.22426246106624603,-0.8918121457099915,0.4169653058052063
tenis,0.8858931064605713,342.3223246637737,297.63953959470484,126.69977687730476,0.19613873958587646,-0.8488739132881165,0.43085601925849915
tenis,0.9167256355285645,342.41440244397467,298.08917777795597,123.77136059141846,0.14377044141292572,-0.8766149282455444,0.476671040058136
tenis,0.943988561630249,342.53669015087456,298.2783740179653,120.93207827420085,0.13819417357444763,-0.9079742431640625,0.5332087278366089
tenis,0.9712374210357666,342.47738361831136,298.6859792170642,117.77472770771406,0.14280064404010773,-0.8611764311790466,0.511519730091095
tenis,1.0020105838775635,342.40642990566596,299.26624476819177,115.29274624635815,0.12243518978357315,-0.8590053915977478,0.5127381682395935
tenis,1.0292582511901855,342.2847056893726,299.67295521250935,113.08205989883514,0.13140568137168884,-0.8667246699333191,0.48300713300704956
tenis,1.063615322113037,342.0174181890352,300.20282762794056,110.06718024824566,0.12825389206409454,-0.8616588711738586,0.4376795291900635
tenis,1.097996711730957,341.7357343574747,300.7441064592858,107.48435104379452,0.18159198760986328,-0.8626238107681274,0.46424251794815063
tenis,1.1323072910308838,341.3201702804455,301.50975700486583,105.14790725327323,0.20462435483932495,-0.8454967737197876,0.3818729817867279
tenis,1.166637659072876,340.76733476902467,302.03674708046736,103.17767771548053,0.29457178711891174,-0.9226890206336975,0.4325619041919708
tenis,1.200969934463501,340.0458892077529,302.86170074351605,101.25322410550524,0.29723870754241943,-0.9188294410705566,0.43061232566833496
tenis,1.2282555103302002,339.3646717531452,303.6292978930096,100.18442244380331,0.29384446144104004,-0.8650360703468323,0.40575525164604187
tenis,1.2555320262908936,338.4543253575457,304.69365651665646,98.5502450433644,0.27735814452171326,-0.8404310345649719,0.41062918305397034
tenis,1.2863342761993408,337.6857753966629,305.52174182143966,97.32887061598272,0.20438189804553986,-0.7711991667747498,0.4281753599643707
tenis,1.313610553741455,337.1034078548183,306.1879072466639,96.15982909802167,0.19419918954372406,-0.8015936613082886,0.4398728311061859
tenis,1.3408582210540771,336.5418740974894,306.7097063784962,94.82701330414207,0.1588020622730255,-0.7422520518302917,0.45815008878707886
tenis,1.3751349449157715,336.36993945305994,307.1755662610261,94.01816181206165,0.11904094368219376,-0.7299495935440063,0.4925113320350647
tenis,1.409433126449585,336.12497471847746,307.6623879941187,92.71466119009973,0.13649705052375793,-0.707033097743988,0.48617520928382874
tenis,1.4437646865844727,336.31710110964076,307.8448462525119,91.77137108458595,0.014061863534152508,-0.6874938011169434,0.6348302960395813
tenis,1.4780635833740234,337.19954276738616,307.5587740244097,91.50148298972206,-0.196234330534935,-0.6151260733604431,0.6930738687515259
tenis,1.512378454208374,339.0717181094542,306.85451321908965,92.04770687802633,-0.7118740081787109,-0.6551695466041565,1.1578036546707153
tenis,1.5396265983581543,342.07557724981785,305.54733795535424,95.02773890347041,-1.528159499168396,-0.6715729236602783,1.5279792547225952
tenis,1.5704030990600586,345.51928178971013,303.944845802475,101.5019591045096,-2.047254800796509,-1.049815058708191,1.7658274173736572
tenis,1.5976479053497314,348.0502596130771,303.8246447183666,111.17564481845787,-2.073913097381592,-1.46158766746521,1.3505679368972778
tenis,1.6248822212219238,348.95812921132887,305.9247195673758,125.74785341268007,-1.9593814611434937,-1.881320834159851,0.8407540917396545
tenis,1.659193515777588,346.45778820148394,304.94523287435555,142.9143317782132,-1.23639976978302,-2.790259838104248,-0.6013662815093994
tenis,1.6935014724731445,341.4991656329294,300.7346671378528,165.18391768022965,-0.3142217695713043,-2.5671260356903076,-1.7881910800933838
tenis,1.7278151512145996,337.73760457963226,301.13417173259603,183.66898136787776,0.02303236350417137,-1.8465842008590698,-1.2249072790145874
tenis,1.7621352672576904,334.41023011413637,298.7320420128267,197.3985222034388,0.5964169502258301,-1.5038022994995117,-1.142234444618225
tenis,1.7964282035827637,331.8087783989132,299.1759496673642,206.10616645174798,0.6095090508460999,-0.8778210282325745,-0.7802095413208008
tenis,1.8307223320007324,330.1827442915122,300.0604455045025,211.09775065946334,0.6398147940635681,-0.6320118308067322,-0.22463864088058472
tenis,1.8579950332641602,329.24855882816206,300.6700945294395,213.1442529197176,0.6187219619750977,-0.6455205082893372,0.019008353352546692
tenis,1.8887507915496826,329.04442837953246,300.7162597780396,213.61474367050474,0.625752866268158,-0.5632624626159668,0.37846121191978455
tenis,1.9159884452819824,328.8108188344451,300.82207989885063,213.51352026700516,0.6759392023086548,-0.6216391324996948,0.20275577902793884
tenis,1.943291187286377,327.92674305394075,300.79195876461085,212.35180071183436,0.5532615780830383,-0.6855640411376953,0.34239405393600464
tenis,1.9741249084472656,327.6429930901563,300.68994305916755,210.6424912305253,0.5673234462738037,-0.5678457617759705,0.32192355394363403
tenis,2.001401901245117,327.0032229309796,300.26008510375283,208.59301100779294,0.6024780869483948,-0.5726702809333801,0.3207050561904907
