actividad,t,pitch,roll,yaw,x_accel,y_accel,z_accel
boxeo,0.13141465187072754,315.56921305281145,320.14831872145515,136.5980460413522,0.7154578566551208,-0.48269301652908325,0.5046961903572083
boxeo,0.15834879875183105,315.4693249512946,320.1035707371078,136.85725172035418,0.6827276945114136,-0.4646010994911194,0.5025029182434082
boxeo,0.19214510917663574,315.3917749834583,320.2129049902468,137.064384037124,0.6844248175621033,-0.43927234411239624,0.4854441285133362
boxeo,0.21932482719421387,315.2863715041866,320.16257674134755,137.12357445647132,0.6887888312339783,-0.4802807569503784,0.48300713300704956
boxeo,0.24680161476135254,315.22245800902823,320.00669133392034,137.2080638965044,0.6698780655860901,-0.4563993811607361,0.5020155310630798
boxeo,0.27779650688171387,315.1161495296916,320.0940255477427,137.10173151150562,0.6769090294837952,-0.4284172058105469,0.48739367723464966
boxeo,0.3052241802215576,315.0243415419628,319.90952506278774,137.03775995973928,0.6681809425354004,-0.4867938756942749,0.50859534740448
boxeo,0.332639217376709,314.96571119812745,319.55621303740133,137.08681437835833,0.6623622179031372,-0.4718378484249115,0.5120070576667786
boxeo,0.3671143054962158,314.86856541756237,319.35763894766154,137.1465375524609,0.6759392023086548,-0.46749579906463623,0.5195617079734802
boxeo,0.4016532897949219,314.70298114151376,319.1007589480719,137.2288140112029,0.6609075665473938,-0.49620169401168823,0.5246793031692505
boxeo,0.43265247344970703,314.4533069914985,318.9476226917857,137.21283136854507,0.6463608145713806,-0.4573642909526825,0.5200490951538086
boxeo,0.46004223823547363,314.2408778630274,318.9258821996575,137.03217286499822,0.6226010918617249,-0.47521501779556274,0.5315028429031372
boxeo,0.49451732635498047,313.91157736766814,318.6649484827955,137.01067142949103,0.534835696220398,-0.44940385222435,0.6214269995689392
boxeo,0.5219659805297852,313.47404569472087,318.38548787780985,137.1014173228038,0.515924870967865,-0.42696985602378845,0.5527044534683228
boxeo,0.556462287902832,312.9956899811044,317.6313086349408,137.2697678254663,0.38403433561325073,-0.5425170660018921,0.6109480261802673
boxeo,0.5874276161193848,312.35684189746564,316.30632023785006,138.21322185552015,0.3086336553096771,-0.3172120451927185,0.5064020156860352
boxeo,0.6148664951324463,311.1421917913218,315.17811642093653,139.27161430892698,0.5016205906867981,-0.3324092924594879,0.27513375878334045
boxeo,0.6493511199951172,308.25548747069683,310.4584113082281,142.85253222660293,0.6512097716331482,-0.5815956592559814,0.14548702538013458
boxeo,0.6768059730529785,305.5583379750126,305.03031312575183,147.3422204737274,0.904565691947937,-0.5229777693748474,-0.4449387788772583
boxeo,0.7113096714019775,302.4400424301999,298.59123766308693,153.38380966254883,1.2175633907318115,-0.5140523910522461,-0.2566954493522644
boxeo,0.7422630786895752,299.4490821020838,291.4704717552143,160.21074766251664,1.1807116270065308,-0.4855877161026001,-0.2820034325122833
boxeo,0.7696812152862549,297.5668049102334,286.74219134000293,165.03552499032196,1.3142993450164795,-0.4083954393863678,-0.28128036856651306
boxeo,0.8041708469390869,296.0004444580635,283.4352323099362,168.79238858101743,1.336119532585144,-0.3449530303478241,-0.3743174076080322
